-,repair_cost-,repair_time-parallel,repair_time-sequential
6303,1438134.009024675,441.78476308357835,1004.9652210624715
6304,21600000.0,12500.0,12500.0
6305,2933219.3291913257,885.8166631902442,2155.1125207809146
6306,21600000.0,12500.0,12500.0
6307,1017705.680414369,320.5928509754459,725.5894163316616
6308,1854920.6455078523,531.2866861055616,1287.6954345691975
6309,2504562.3913566684,728.2424256759297,1824.9474069229295
6310,2248374.8901183843,598.363618479323,1617.5490994583486
6311,1228710.899294941,344.3092797865377,849.573707491299
6312,3013620.2853623275,787.6566357449655,2231.0967451282795
6313,855073.4516367465,233.36568283489316,611.4146046712824
6314,244303.81838034786,81.01224686641919,208.1442993171147
6315,3262955.6804569582,892.025331636142,2422.9767714868312
6316,1193954.795110836,344.9928131364398,842.7822589784602
6317,1213458.2428044013,333.4620364725231,850.3003911820126
6318,3218786.072625282,811.9285527517889,2392.8643397350625
6319,2285496.4175565215,608.6952697628233,1625.7174782160046
6320,1851071.711235346,434.8612184033792,1281.744003010745
6321,1122920.2182494719,457.3633404831241,856.4316814366695
6322,21600000.0,12500.0,12500.0
6323,21600000.0,12500.0,12500.0
6324,21600000.0,12500.0,12500.0
6325,1702391.7482494004,524.6333422602372,1233.794276268675
6326,21600000.0,12500.0,12500.0
6327,2352537.0596050355,615.8428455919552,1681.4494609555425
6328,170334.164257584,63.631771247759985,153.35333085431998
6329,2187978.7007551393,671.6734218149696,1574.3577289682198
6330,21600000.0,12500.0,12500.0
6331,3335399.948622137,866.2653624703407,2508.296945081209
6332,396753.81629424595,139.80915707315074,324.90176427123396
6333,21600000.0,12500.0,12500.0
6334,305573.5177872228,114.07196126370158,261.3891654287507
6335,2380760.314724908,648.0874079262959,1714.8822598868312
6336,1692056.5178523124,509.28970368562904,1228.9056910235079
6337,286889.7010941505,95.97101383624617,233.99427850561582
6338,945507.1368396075,305.68745781086085,685.5673624706444
6339,2291855.4772453187,581.5215785549915,1631.4475119501562
6340,21600000.0,12500.0,12500.0
6341,2349259.32049346,601.9154738830208,1688.749743623206
6342,2192868.847066524,657.9014834556225,1583.4801638269648
6343,3041082.7860586657,772.0013926872127,2252.3429984712284
6344,2394377.9582987437,618.3806919850624,1729.9089427494173
6345,1430241.0955155338,428.56754307279846,1011.2287441421215
6346,298829.2997181475,106.97732711244151,236.86765074027957
6347,3650024.5374214523,968.6119838587639,2756.8749504825055
6348,2286492.1968569946,610.3583013738862,1631.6080817598415
6349,290756.2108654711,90.95587090963677,240.68187731421867
6350,2115316.444272302,636.8646938278756,1516.66407296633
6351,21600000.0,12500.0,12500.0
6352,409698.43382457417,173.737531673344,345.2518817142611
6353,3393962.709127037,924.3575431432934,2551.1940542888524
6354,1280588.3457986508,352.87337237132414,889.4385437711636
6355,2118318.80577206,538.5748196216383,1502.108526671428
6356,21600000.0,12500.0,12500.0
6357,701685.5394337901,232.91555348665233,530.729605606037
6358,1188210.43815534,411.66123290289954,825.0153535496418
6359,638532.807775858,248.16012300622717,486.6611283531912
6360,21600000.0,12500.0,12500.0
6361,21600000.0,12500.0,12500.0
6362,2114108.6057114685,568.5042528773231,1513.1461707200326
6363,329174.1005459683,133.28876671041147,265.5918738128946
6364,21600000.0,12500.0,12500.0
6365,21600000.0,12500.0,12500.0
6366,591627.2102132188,239.7120488647039,463.61962497808923
6367,1919764.2811568736,506.9083562940525,1365.0814966077628
6368,712248.9813230226,228.55684312029754,566.7490067775825
6369,2400366.2900100336,708.010881106112,1728.0410958585214
6370,610922.2326966089,207.75554537004155,443.845507463566
6371,1595911.9059458086,451.1164294596763,1138.805274274821
6372,3082618.0190975945,867.6654444321711,2286.363694238112
6373,1808797.4957152777,550.4165325113074,1276.1723637024418
6374,1061305.9833190518,270.15434501866054,773.1247514403169
6375,1933989.3337710083,516.6404313374412,1348.7315068256005
6376,1690926.490278239,460.44774898407354,1191.2181101296621
6377,2377748.178396496,650.5321652471553,1705.381026941406
6378,1069851.456557189,290.3345008998166,773.7425020183796
6379,2186817.766928601,565.7678292990391,1566.1848805811237
6380,3054231.313645081,798.8053859289397,2280.7076731343373
6381,1778931.224821718,558.7951523557964,1251.0103225886637
6382,2224128.9334280756,553.1880736243853,1582.8449072738124
6383,21600000.0,12500.0,12500.0
6384,456522.70614674734,135.77418608406742,379.5478986288727
6385,1825679.337381338,437.59631173192156,1254.697178276931
6386,1900692.8904751937,562.688521487499,1358.683962773161
6387,1412679.8996127269,406.8982561716164,993.4318386777189
6388,1149115.4709052932,291.0928428107282,770.0260988338248
6389,690336.8624767526,261.7188921706034,500.064354090356
6390,21600000.0,12500.0,12500.0
