#,repair_cost-,repair_time-parallel,repair_time-sequential,collapse,irreparable
248,18659308.124687836,14162.048736582148,14162.048736582148,0.0,1.0
249,13051191.64127908,7298.382207348679,7298.382207348679,0.0,1.0
250,13590253.338674579,19396.398114627165,19396.398114627165,0.0,1.0
251,13030452.028384797,11737.765226793372,11737.765226793372,0.0,1.0
252,13736079.960269392,6934.22976517387,6934.22976517387,0.0,1.0
253,10987765.19956349,14219.77346904473,14219.77346904473,0.0,1.0
254,20649887.55880702,11326.37971587526,11326.37971587526,0.0,1.0
255,3356602.1244254974,903.4528863032558,2464.270095634247,0.0,0.0
256,8883064.837796101,7114.92570418653,7114.92570418653,0.0,1.0
257,1567841.2760604415,741.5918615475762,1212.5355269908407,0.0,0.0
258,8692399.874292314,24396.372049489557,24396.372049489557,1.0,0.0
259,6836983.209982835,6105.588620880422,6105.588620880422,0.0,1.0
260,17453631.683634765,9935.666597258838,9935.666597258838,0.0,1.0
261,3192174.014111437,1190.509131512284,2962.9868532549203,0.0,0.0
262,2835423.92294942,889.1553415776535,2023.2473295376212,0.0,0.0
263,8217954.212728754,12625.747013943135,12625.747013943135,0.0,1.0
264,2984750.575697023,688.5583635177046,2138.7153743540457,0.0,0.0
265,13658329.836864173,16530.075827907924,16530.075827907924,0.0,1.0
266,9030679.23048741,15930.668016347436,15930.668016347436,0.0,1.0
267,10544633.315763969,15568.388521315328,15568.388521315328,0.0,1.0
268,8119138.774091773,12338.861114428806,12338.861114428806,0.0,1.0
269,2960952.813739788,974.2430724475414,2729.073865419112,0.0,0.0
270,13785967.426774288,16458.60675525963,16458.60675525963,0.0,1.0
271,2574935.763824211,681.2919659688848,1937.6220116525276,0.0,0.0
272,11551492.710982341,9221.227754841966,9221.227754841966,0.0,1.0
273,12400222.904453155,16841.365137291836,16841.365137291836,0.0,1.0
274,10823977.818028633,11495.268397298187,11495.268397298187,0.0,1.0
275,3361820.8525959523,953.8919456715248,2377.533874729108,0.0,0.0
276,8414924.12169414,13110.11748394738,13110.11748394738,1.0,0.0
277,19574860.79533534,16313.969185941241,16313.969185941241,0.0,1.0
278,8644953.246531677,16517.998701971712,16517.998701971712,1.0,0.0
279,2892419.4823292564,990.128076780706,2199.324766606847,0.0,0.0
280,9192077.800709233,18805.08187681006,18805.08187681006,0.0,1.0
281,2801831.9446944613,852.908059694218,2144.2318232722155,0.0,0.0
282,13357159.885498324,15327.008725621885,15327.008725621885,1.0,0.0
283,2710474.307162063,1093.5479879170393,2294.91647271043,0.0,0.0
284,10931641.968243485,22311.467088035683,22311.467088035683,0.0,1.0
285,15351569.439138029,19705.997764247684,19705.997764247684,0.0,1.0
286,14499678.246528165,12235.600887676392,12235.600887676392,0.0,1.0
287,16138390.068391036,11458.470116354647,11458.470116354647,0.0,1.0
288,3340026.2508264957,950.1727114548797,2685.9142255379647,0.0,0.0
289,2889202.0616242653,772.7943562338622,2304.8693493655237,0.0,0.0
290,10197782.572223097,21587.576371783707,21587.576371783707,1.0,0.0
291,13542863.019783814,23709.000473932283,23709.000473932283,0.0,1.0
292,15866781.184934739,7465.2304974327835,7465.2304974327835,0.0,1.0
293,9153992.433306158,8658.029123633745,8658.029123633745,0.0,1.0
294,10238600.738372136,8818.660050636508,8818.660050636508,0.0,1.0
295,3845517.189338784,849.2945187899749,2617.328038243148,0.0,0.0
296,2731730.5614999575,747.6031404686942,1873.4744782112532,0.0,0.0
297,2922271.163791984,898.1915307395175,2422.434149582591,0.0,0.0
298,7124720.615873754,23479.01775027012,23479.01775027012,0.0,1.0
299,3852294.978704518,1080.288537452479,2715.3098567986817,0.0,0.0
300,5098919.982182376,15053.347714155898,15053.347714155898,1.0,0.0
